epoch,train_loss,val_loss,val_acc
1,25.10439055274768,67.71019310363425,0.9966666666666667
2,100.20510396241752,0.02074411517747876,1.0
3,0.0015928412912558088,0.003172269243847836,1.0
4,0.0022365521681990685,0.002231055107472457,1.0
5,0.002520203642340846,0.00792258644668209,1.0
6,0.6621235941855588,0.005011344252622507,1.0
7,0.0024491142759188733,0.010047630073728442,1.0
8,0.002243926441977351,0.017470004633366898,1.0
9,0.0025034837785042896,0.009721999551899785,1.0
10,0.0021730944631102034,0.012245380550353957,1.0
